Country/Region,Lat,Long,Total_cases,Total_deaths,Total_recovered
Nepal,28.1667,84.25,816675,11471,661651
Netherlands,12.5211,-69.9683,16076,172,11259
Netherlands,12.1784,-68.2385,2616,21,1673
Netherlands,12.1696,-68.99,17216,175,13157
Netherlands,18.0425,-63.0548,4532,75,2682
Netherlands,52.1326,5.2913,2283083,18728,0
New Zealand,-21.2367,-159.7777,1,0,0
New Zealand,-40.9006,174.886,8692,33,2824
Nicaragua,12.865416,-85.207229,16877,210,4225
Niger,17.607789,8.081666,6669,231,5351
Nigeria,9.082,8.6753,213127,2960,165208
North Macedonia,41.6086,21.7453,208992,7320,150440
Norway,60.472,8.4689,227370,950,17998
Oman,21.512583,55.923255,304410,4113,281724
Pakistan,30.3753,69.3451,1279373,28595,952616
Palau,7.515,134.5825,8,0,0
Panama,8.538,-80.7821,474453,7341,420113
Papua New Guinea,-6.314993,143.95555,32830,430,17384
Paraguay,-23.4425,-58.4438,461624,16278,423964
Peru,-9.19,-75.0152,2213548,200605,2086086
Philippines,12.879721,121.774017,2815080,45272,1528422
Poland,51.9194,19.1451,3190067,78821,2653981
Portugal,39.3999,-8.2245,1106005,18242,912620
Qatar,25.3548,51.1839,240965,611,224285
Romania,45.9432,24.9668,1739283,52836,1048072
Russia,61.52401,105.318756,8881306,249415,5609682
Rwanda,-1.9403,29.8739,100125,1338,44911
Saint Kitts and Nevis,17.357822,-62.782998,2745,27,549
Saint Lucia,13.9094,-60.9789,12827,269,5398
Saint Vincent and the Grenadines,12.9843,-61.2872,5270,71,2233
Samoa,-13.759,-172.1046,3,0,3
San Marino,43.9424,12.4578,5624,92,5009
Sao Tome and Principe,0.1864,6.6131,3730,56,2365
Saudi Arabia,23.885942,45.079162,549192,8811,507374
Senegal,14.4974,-14.4524,73951,1881,48812
Serbia,44.0165,21.0059,1208386,10781,0
Seychelles,-4.6796,55.492,22633,122,17874
Sierra Leone,8.460555,-11.779889,6400,121,4287
Singapore,1.2833,103.8333,235480,576,63357
Slovakia,48.669,19.699,554296,13485,255300
Slovenia,46.1512,14.9955,375775,4920,253972
Solomon Islands,-9.6457,160.1562,20,0,20
Somalia,5.152149,46.199616,22837,1313,7661
South Africa,-30.5595,22.9375,2925677,89746,2258603
South Sudan,6.877,31.307,12558,133,10514
Spain,40.463667,-3.74922,5047156,87673,150376
Sri Lanka,7.873054,80.771797,549500,13972,284524
Sudan,12.8628,30.2176,41093,3099,30647
Summer Olympics 2020,35.6491,139.7737,865,0,0
Suriname,3.9193,-56.0278,50013,1133,21978
Sweden,60.128161,18.643501,1182471,15082,0
Switzerland,46.8182,8.2275,909038,11325,317600
Syria,34.802075,38.996815,46130,2661,22019
Taiwan*,23.7,121.0,16479,848,12957
Tajikistan,38.861,71.2761,17488,125,14867
Tanzania,-6.369028,34.888822,26196,725,183
Thailand,15.870032,100.992541,2011331,19989,26873
Timor-Leste,-8.874217,125.727539,19809,122,10025
Togo,8.6195,0.8248,26148,243,14654
Tonga,-21.179,-175.1982,1,0,0
Trinidad and Tobago,10.6918,-61.2225,61922,1850,32454
Tunisia,33.886917,9.537499,715637,25308,530545
Turkey,38.9637,35.2433,8388512,73342,5478185
US,40.0,-100.0,47050502,762972,0
Uganda,1.373333,32.290275,126889,3237,86826
Ukraine,48.3794,31.1656,3353694,81054,2258433
United Arab Emirates,23.424076,53.847818,740879,2143,664130
United Kingdom,18.2206,-63.0686,1137,4,111
United Kingdom,32.3078,-64.7505,5708,106,2503
United Kingdom,18.4207,-64.64,2745,38,1914
United Kingdom,19.3133,-81.2546,3427,2,635
United Kingdom,49.3723,-2.3644,14519,103,8322
United Kingdom,-51.7963,-59.5236,79,0,63
United Kingdom,36.1408,-5.3536,6464,98,4670
United Kingdom,54.2361,-4.5481,10225,64,4019
United Kingdom,16.742498,-62.187366,41,1,19
United Kingdom,-7.9467,-14.3559,4,0,4
